21	66	174	m
23	72	175	m
28	81	194	m
23	73	187	m
22	79	187	m
21	75	182	m
26	86	184	m
27	78	185	m
23	62	175	m
21	82	184	m
23	77	180	m
22	84	178	m
20	90	192	m
26	75	176	m
23	71	174	m
22	80	184	m
30	94	193	m
22	70	172	m
29	72	173	m
22	86	176	m
22	79	176	m
20	78	181	m
22	66	173	m
24	86	176	m
26	82	174	m
24	90	178	m
21	83	180	m
24	76	180	m
23	63	165	m
19	61	173	m
23	75	184	m
25	70	176	m
23	72	188	male
23	84	189	male
23	69	173	m
20	60	170	m
22	67	182	m
24	61	170	m
22	69	178	m
24	80	184	m
21	88	187	m
23	85	171	m
24	73	173	m
35	72	175	m
29	83	180	m
25	89	183	m
23	84	188	m
20	94	177	m
25	75	172	m
29	59	167	m
23	76	170	m
23	86	174	m
36	75	173	m
25	87	182	m
24	55	164	m
20	57	163	m
52	61	172	m
50	77	184	m
46	87	174	m
51	72	174	m
28	72	177	m
48	85	186	m
35	68	167	m
23	66	172	m
23	72	182	m
62	65	167	m
21	75	178	m
26	70	165	m
33	102	192	m
36	63	176	m
41	79	171	m
40	79	182	m
27	68	167	m
27	66	181	m
23	68	177	m
31	64	175	m
26	72	178	m
23	57	171	m
24	75	182	m
24	91	197	m
34	93	180	m
21	81	176	m
25	73	181	m
34	68	184	m
31	71	176	m
40	73	181	m
21	73	177	m
33	83	177	m
25	76	182	m
29	73	177	m
27	70	175	m
44	73	174	m
26	71	165	m
22	69	177	m
37	102	192	m
38	68	177	m
20	66	169	m
21	76	182	m
24	85	180	m
45	88	175	m
25	86	185	m
22	73	177	m
29	54	167	m
37	72	178	m
20	56	169	m
20	58	157	m
32	83	180	m
23	73	170	m
25	64	178	m
27	72	173	m
21	65	165	m
27	86	187	m
25	65	165	m
38	89	174	m
44	84	175	m
27	67	185	m
37	76	178	m
28	93	180	m
33	83	180	m
-3	58	178	m
21	80	178	m
30	79	178	m
26	72	178	m
27	116	178	m
33	72	164	m
29	84	188	m
27	86	198	m
34	91	175	m
42	86	166	m
29	89	191	m
41	75	166	m
43	78	178	m
43	86	180	m
29	91	173	m
27	74	191	m
62	76	185	m
33	69	169	m
45	85	168	m
30	65	175	m
20	69	170	m
22	109	191	m
51	86	178	m
34	81	191	m
44	88	178	m
46	95	184	m
34	80	177	m
32	72	178	m
28	71	180	m
31	73	171	m
29	84	173	m
42	77	173	m
29	64	178	m
31	81	178	m
30	81	183	m
27	86	170	m
25	69	168	m
24	68	175	m
33	66	165	m
45	102	185	m
37	71	182	m
44	96	173	m
34	84	191	m
55	87	179	m
43	72	175	m
24	66	170	m
22	96	193	m
38	91	171	m
24	82	178	m
29	97	178	m
25	69	168	m
37	83	168	m
30	76	180	m
26	80	183	m
35	74	177	m
29	92	187	m
30	84	188	m
37	86	188	m
34	82	178	m
28	83	174	m
27	81	178	m
32	70	171	m
28	82	185	m
22	84	185	m
44	91	188	m
25	91	188	m
49	89	183	m
54	85	177	m
49	69	175	m
60	74	175	m
42	81	188	m
52	83	188	m
23	86	175	m
33	68	171	m
46	93	179	m
43	94	178	m
56	71	175	m
21	75	183	m
18	93	171	m
21	93	188	m
45	78	180	m
22	61	178	m
55	94	185	m
42	75	169	m
29	84	185	m
40	86	180	m
24	74	174	m
62	67	168	m
26	87	183	m
35	72	160	m
37	89	180	m
34	76	168	m
25	101	187	m
30	91	175	m
32	67	175	m
27	78	176	m
42	82	175	m
44	76	179	m
46	85	182	m
19	77	178	m
43	85	183	m
28	103	178	m
39	77	184	m
30	72	179	m
36	88	177	m
48	94	188	m
48	71	174	m
53	65	168	m
45	77	170	m
39	72	168	m
43	87	188	m
65	80	174	m
45	82	177	m
37	74	180	m
55	74	168	m
33	86	188	m
25	73	180	m
35	76	168	m
28	66	183	m
26	91	183	m
43	89	179	m
30	62	170	m
26	83	178	m
51	79	179	m
30	98	191	m
24	84	178	m
35	83	180	m
37	83	180	m
22	52	161	f
20	59	168	f
19	49	160	f
25	63	157	f
21	54	156	f
23	59	170	f
26	48	159	f
22	70	166	f
28	67	176	f
40	75	160	f
32	55	173	f
25	54	171	f
25	63	173	f
29	42	153	f
22	50	160	f
25	50	147	f
23	49	168	w
37	73	175	f
19	48	157	f
23	69	168	f
25	51	160	f
26	83	175	f
24	57	167	f
29	88	177	f
22	73	170	f
30	55	174	f
23	60	173	f
38	67	180	f
23	68	171	f
19	47	160	f
46	46	154	f
20	55	162	f
22	83	177	f
25	54	160	f
21	46	152	f
23	54	162	f
31	73	170	f
29	52	160	f
19	68	161	f
21	57	166	f
23	62	169	f
24	59	164	f
20	55	168	f
19	50	160	f
20	60	161	f
19	58	168	f
20	56	165	f
19	50	160	f
22	73	170	f
39	60	158	f
18	61	168	f
19	69	161	f
26	56	163	f
20	47	152	f
20	54	158	f
26	55	168	f
21	61	180	f
21	60	166	f
38	62	165	f
23	60	165	f
37	53	156	f
19	74	160	f
25	62	163	f
20	73	166	f
41	80	161	f
26	55	162	f
21	53	166	f
47	76	174	f
19	61	173	f
44	56	168	f
35	49	151	f
32	52	165	f
46	50	164	f
22	59	152	f
49	63	169	f
52	56	164	f
25	55	161	f
48	46	155	f
41	71	170	f
18	67	176	f
30	69	170	f
20	58	163	f
24	65	170	f
23	72	164	f
30	53	170	f
23	60	163	f
45	49	155	f
20	50	160	f
20	69	173	f
23	56	170	f
21	63	161	f
28	58	169	f
45	59	166	f
24	46	159	f
25	52	163	f
19	49	159	f
20	58	163	f
29	56	159	f
24	67	180	f
24	59	163	f
25	54	161	f
31	73	151	f
22	53	168	f
20	69	169	f
32	58	173	f
25	56	172	f
19	71	178	f
23	60	164	f
22	72	163	f
20	65	169	f
27	57	167	f
34	105	173	f
25	52	164	f
26	63	169	f
19	59	168	f
26	48	160	f
25	63	168	f
20	55	161	f
21	45	160	f
18	54	163	f
19	50	162	f
27	60	161	f
26	45	150	f
36	59	158	f
20	56	163	f
28	62	173	f
32	49	155	f
32	67	157	f
23	54	164	f
20	0	161	f
20	58	163	f
20	60	167	f
23	55	160	f
20	43	160	f
28	61	169	f
23	46	158	f
19	64	156	f
28	49	160	f
19	62	167	f
29	56	158	f
32	58	168	f
20	55	156	f
28	59	162	f
36	53	173	f
22	53	160	f
20	65	171	f
22	52	159	f
32	56	158	f
